date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps,,,,,,,,,,,,,,,
12/05/2022,39,177,64,2022-05-11 21:56:00+0000,2022-05-12 04:10:00+0000,94,,,,,,,,,,,,,,,,
13/05/2022,7,211,163,2022-05-12 18:42:00+0000,2022-05-13 03:34:00+0000,151,,,,,,,,,,,,,,,,
14/05/2022,118,208,25,2022-05-13 21:39:00+0000,2022-05-14 05:03:00+0000,93,,,,,,,,,,,,,,,,
15/05/2022,78,466,29,2022-05-14 17:21:00+0000,2022-05-15 04:16:00+0000,82,,,,,,,,,,,,,,,,
16/05/2022,67,339,1,2022-05-15 21:02:00+0000,2022-05-16 04:14:00+0000,25,,,,,,,,,,,,,,,,
17/05/2022,36,271,37,2022-05-16 21:43:00+0000,2022-05-17 05:13:00+0000,106,,,,,,,,,,,,,,,,
18/05/2022,66,338,1,2022-05-17 21:29:00+0000,2022-05-18 05:12:00+0000,58,,,,,,,,,,,,,,,,
19/05/2022,55,212,0,2022-05-19 01:20:00+0000,2022-05-19 06:19:00+0000,32,,,,,,,,,,,,,,,,
20/05/2022,66,368,20,2022-05-19 20:39:00+0000,2022-05-20 05:59:00+0000,106,,,,,,,,,,,,,,,,
21/05/2022,74,199,2,2022-05-21 01:45:00+0000,2022-05-21 07:26:00+0000,66,,,,,,,,,,,,,,,,
